date,mean autumn bottom temperature
1987,5.21
1988,5.72
1989,5.61
1990,5.86
1991,5.36
1992,5.69
1993,5.68
1994,5.63
1995,6.06
1996,6.07
1997,6.45
1998,6.75
1999,5.6
2000,5.56
2001,5.88
2002,5.66
2003,5.88
2004,5.62
2005,5.11
2006,4.96
2007,5.43
2008,5.93
2009,5.83
2010,5.71
2011,5.65
2012,5.44
2013,5.58
2014,5.83
2015,6.18
2016,6.4
2017,6.15
2018,6.07
2019,6.15
2020,6.59
2021,6.69
2022,6.62
2023,6.79
