date,mean annual surface conductivity
1988,211.66
1989,231.63
1990,222.75
1991,232.61
1993,237.99
1994,213.24
1995,219.83
1996,217.42
1997,226.93
1998,215.82
1999,218.99
2000,216.48
2001,215.14
2002,216.59
2003,227.02
2004,228.91
2005,240.03
2006,239.79
2007,235.46
2008,229.35
2009,229.59
2010,233.87
2011,232.52
2012,240.13
2013,235.98
2014,224.53
2015,233.48
2016,236.04
2017,230.28
2018,239.51
2019,255.68
2020,229.81
2021,241.18
2022,244.85
2023,228.33
