date,mean annual Secchi depth
1987,3.06
1988,2.96
1989,5.41
1990,4.77
1991,4.9
1993,4.25
1994,5.12
1995,4.29
1996,4.3
1997,4.58
1998,4.57
1999,4.41
2000,4.7
2001,4.55
2002,4.83
2003,5.56
2004,5.61
2005,5.78
2006,6.62
2007,6.01
2008,5.56
2009,6.07
2010,5.86
2011,5.4
2012,6.14
2014,4.98
2015,5.81
2016,5.47
2017,5.25
2018,5.31
2019,5.71
2020,4.12
2021,5.03
2022,6.08
2023,5.64
