date,minimum Secchi depth
1987,1.1
1988,1.2
1989,2.3
1990,1.7
1991,0.6
1993,2.1
1994,2.1
1995,2.4
1996,2.2
1997,2.3
1998,1.7
1999,1.9
2000,2.4
2001,2.2
2002,1.0
2003,2.2
2004,2.1
2005,2.3
2006,2.4
2007,2.7
2008,2.3
2009,2.5
2010,2.8
2011,2.8
2012,2.1
2014,2.6
2015,2.8
2016,2.0
2017,1.3
2018,1.2
2019,2.7
2020,2.3
2021,1.5
2022,1.6
2023,2.1
