date,mean summer Schmidt stability
1987,5653.45
1988,5682.63
1989,7541.16
1990,7046.14
1991,7453.96
1992,6271.11
1993,6191.68
1994,7874.88
1995,7256.9
1996,6469.71
1997,6697.68
1998,8381.75
1999,7321.12
2000,6466.25
2001,7020.4
2002,7380.53
2003,9289.69
2004,8493.04
2005,9261.16
2006,9034.79
2007,7536.57
2008,6803.62
2009,8668.37
2010,9296.17
2011,8240.61
2012,9043.09
2013,8527.88
2014,7764.23
2015,8513.37
2016,10014.27
2017,10225.4
2018,8458.74
2019,9632.13
2020,8686.46
2021,8993.58
2022,10933.66
