date,mean annual bottom conductivity
1988,268.26
1989,258.9
1990,265.75
1991,271.01
1993,278.51
1994,257.81
1995,258.11
1996,263.59
1997,262.14
1998,261.54
1999,264.37
2000,264.5
2001,266.6
2002,264.02
2003,262.16
2004,270.76
2005,273.47
2006,275.62
2007,280.05
2008,280.0
2009,276.59
2010,273.56
2011,274.62
2012,275.78
2013,284.29
2014,290.1
2015,279.8
2016,279.08
2017,280.66
2018,292.16
2019,289.51
2020,291.01
