date,mean autumn surface oxygen concentration
1987,8.36
1988,9.06
1989,7.5
1990,6.44
1991,6.6
1992,7.19
1993,7.58
1994,9.74
1995,10.67
1996,8.19
1997,8.12
1998,7.68
1999,8.1
2000,8.68
2001,8.88
2002,8.78
2003,8.25
2004,8.49
2005,7.19
2006,8.37
2007,8.98
2008,8.53
2009,8.58
2010,9.14
2011,9.85
2012,8.26
2013,8.19
2014,9.63
2015,8.52
2016,7.51
2017,9.48
2018,9.4
2019,8.47
2020,9.17
2021,9.12
2022,7.69
2023,8.59
