date,mean annual bottom density
1988,1000.1237
1989,1000.1218
1990,1000.1187
1991,1000.1355
1993,1000.1308
1994,1000.1185
1995,1000.1093
1996,1000.1093
1997,1000.098
1998,1000.086
1999,1000.1234
2000,1000.1267
2001,1000.1185
2002,1000.123
2003,1000.1151
2004,1000.127
2005,1000.1404
2006,1000.1452
2007,1000.1387
2008,1000.1259
2009,1000.1255
2010,1000.1275
2011,1000.1298
2012,1000.1355
2013,1000.1377
2014,1000.1348
2015,1000.1168
2016,1000.1084
2017,1000.1184
2018,1000.1278
2019,1000.1263
2020,1000.1106
