date,mean spring Secchi depth
1987,3.34
1988,2.37
1989,3.3
1990,2.5
1991,1.67
1992,3.57
1993,2.55
1994,2.79
1995,3.86
1996,3.02
1997,4.26
1998,3.33
1999,2.8
2000,3.15
2001,3.88
2002,3.96
2003,5.44
2004,2.68
2005,3.04
2006,3.49
2007,5.5
2008,4.52
2009,3.66
2010,4.43
2011,5.12
2012,4.79
2014,5.38
2015,4.77
2016,5.18
2017,7.23
2018,3.03
2019,4.48
2020,3.79
2021,4.39
2022,3.58
2023,6.43
