date,mean winter surface oxygen concentration
1987,4.84
1988,6.48
1989,3.81
1990,4.87
1991,2.66
1993,6.29
1994,5.54
1995,5.0
1996,7.61
1997,6.97
1998,5.6
1999,4.67
2000,5.72
2001,9.15
2002,4.22
2003,6.68
2004,5.18
2005,6.5
2006,6.6
2007,8.8
2008,6.92
2009,6.01
2010,5.78
2011,8.35
2012,7.19
2013,7.73
2014,7.83
2015,7.49
2016,5.97
2017,3.86
2018,6.01
2019,6.16
2020,9.65
2021,5.83
2022,6.2
2023,7.51
