date,mean spring surface temperature
1987,8.1
1988,10.87
1989,9.06
1990,10.29
1991,9.56
1992,9.96
1993,9.88
1994,10.12
1995,9.4
1996,11.52
1997,10.03
1998,10.24
1999,10.82
2000,10.16
2001,10.1
2002,10.73
2003,10.41
2004,10.28
2005,9.57
2006,11.74
2007,15.13
2008,10.27
2009,11.95
2010,9.85
2011,14.06
2012,10.69
2013,9.92
2014,11.84
2015,12.51
2016,12.45
2017,12.43
2018,12.89
2019,10.7
2020,13.79
2021,9.78
2022,11.69
2023,11.28
