date,mean late autumn bottom oxygen concentration
1987,0.11
1988,0.1
1989,0.18
1990,0.13
1991,0.12
1992,0.1
1993,0.2
1994,0.2
1995,0.2
1996,0.1
1997,0.17
1998,0.2
1999,0.64
2000,0.25
2001,0.2
2002,0.2
2003,0.2
2004,0.46
2005,0.51
2006,0.47
2007,0.0
2008,0.0
2009,0.1
2010,0.33
2011,0.29
2012,0.2
2013,0.28
2014,0.3
2015,0.2
2016,0.1
2017,0.2
2018,0.16
2019,0.2
2020,0.02
