date,mean annual bottom temperature
1987,5.07
1988,5.68
1989,5.51
1990,5.8
1991,5.25
1993,5.66
1994,5.61
1995,5.94
1996,6.06
1997,6.35
1998,6.64
1999,5.58
2000,5.46
2001,5.82
2002,5.59
2003,5.84
2004,5.61
2005,5.08
2006,4.87
2007,5.37
2008,5.86
2009,5.8
2010,5.66
2011,5.6
2012,5.39
2013,5.54
2014,5.79
2015,6.14
2016,6.37
2017,6.11
2018,6.05
2019,6.04
2020,6.51
2021,6.64
2022,6.6
