date,mean winter epilimnion 0-5 m oxygen concentration
1987,4.74
1988,6.41
1989,3.78
1990,4.76
1991,2.58
1993,6.41
1994,5.53
1995,5.0
1996,7.6
1997,7.03
1998,5.53
1999,4.67
2000,5.66
2001,9.4
2002,4.32
2003,6.64
2004,5.35
2005,6.58
2006,6.65
2007,8.75
2008,6.88
2009,6.0
2010,5.85
2011,8.34
2012,7.2
2013,7.72
2014,7.81
2015,7.49
2016,5.94
2017,3.92
2018,5.94
2019,5.9
2020,9.81
2021,5.9
2022,4.93
2023,7.67
