date,minimum bottom temperature
1987,4.66
1988,5.41
1989,5.22
1990,5.64
1991,5.03
1993,5.59
1994,5.5
1995,5.58
1996,5.99
1997,6.07
1998,6.36
1999,5.39
2000,5.2
2001,5.62
2002,5.4
2003,5.59
2004,5.44
2005,4.89
2006,4.62
2007,5.03
2008,5.63
2009,5.62
2010,5.41
2011,5.47
2012,5.15
2013,5.32
2014,5.6
2015,6.03
2016,6.23
2017,5.96
2018,5.9
2019,5.73
2020,6.22
2021,6.44
2022,6.5
