date,mean summer surface oxygen concentration
1987,14.58
1988,13.23
1989,9.68
1990,11.19
1991,11.54
1992,10.6
1993,12.16
1994,9.3
1995,10.79
1996,10.5
1997,10.48
1998,10.66
1999,12.28
2000,10.92
2001,10.58
2002,12.13
2003,10.82
2004,11.43
2005,10.49
2006,11.8
2007,11.97
2008,11.97
2009,10.67
2010,9.99
2011,10.79
2012,10.31
2013,12.91
2014,11.34
2015,10.95
2016,11.39
2017,15.57
2018,10.86
2019,8.62
2020,9.41
2021,9.53
2022,7.84
2023,9.45
