date,mean autumn Schmidt stability
1987,4948.14
1988,4651.14
1989,4964.86
1990,5242.2
1991,5426.34
1992,3902.73
1993,4079.16
1994,4735.23
1995,4695.82
1996,4371.11
1997,6281.22
1998,3794.45
1999,4411.91
2000,3727.89
2001,5423.55
2002,4621.84
2003,4567.31
2004,5380.69
2005,5987.8
2006,6088.65
2007,5297.66
2008,4681.95
2009,6108.02
2010,5759.5
2011,6182.89
2012,5874.81
2013,5682.28
2014,6235.89
2015,5327.79
2016,6754.86
2017,5621.32
2018,5905.36
2019,6905.76
2020,4812.98
2021,5613.73
2022,6748.58
2023,6924.36
