date,mean late summer Secchi depth
1987,1.46
1988,1.83
1989,3.21
1990,4.03
1991,2.65
1992,2.79
1993,2.31
1994,3.36
1995,3.06
1996,5.44
1997,3.09
1998,2.09
1999,2.34
2000,3.61
2001,2.61
2002,4.58
2003,2.58
2004,3.76
2005,4.12
2006,3.63
2007,3.06
2008,3.48
2009,3.18
2010,3.61
2011,3.31
2012,4.12
2014,5.12
2015,4.72
2016,5.8
2017,1.83
2018,3.27
2019,6.11
2020,3.48
2021,2.42
2022,6.44
2023,5.45
