date,mean autumn hypolimnetic oxygen concentration
1987,3.49
1988,2.54
1989,1.58
1990,0.77
1991,1.11
1992,1.97
1993,2.07
1994,1.99
1995,2.5
1996,2.33
1997,1.28
1998,1.73
1999,3.85
2000,4.18
2001,1.25
2002,1.66
2003,2.01
2004,3.49
2005,5.29
2006,5.01
2007,1.57
2008,1.36
2009,3.03
2010,3.78
2011,4.46
2012,3.05
2013,3.76
2014,0.93
2015,2.11
2016,0.6
2017,1.44
2018,3.19
2019,2.94
2020,1.5
