date,mean early autumn hypolimnetic oxygen content
1987,7226.25
1988,5340.27
1989,3350.41
1990,2050.18
1991,2683.94
1992,4304.79
1993,4711.54
1994,4482.41
1995,5027.23
1996,4763.22
1997,2644.31
1998,4093.34
1999,7661.43
2000,8375.0
2001,2742.88
2002,3791.78
2003,4729.38
2004,6410.93
2005,9891.1
2006,8804.56
2007,3214.98
2008,3151.71
2009,6173.04
2010,8227.24
2011,8456.98
2012,6115.5
2013,7155.13
2014,2021.16
2015,4696.95
2016,1601.32
2017,3914.65
2018,5276.22
2019,6089.26
2020,2350.73
