date,mean summer hypolimnetic oxygen concentration
1987,5.85
1988,4.52
1989,3.11
1990,2.5
1991,2.84
1992,3.62
1993,3.71
1994,3.41
1995,4.54
1996,4.26
1997,2.64
1998,3.5
1999,6.04
2000,6.34
2001,2.61
2002,3.81
2003,4.33
2004,5.55
2005,6.8
2006,8.0
2007,2.75
2008,3.16
2009,4.94
2010,6.7
2011,5.71
2012,5.22
2013,6.11
2014,1.8
2015,3.95
2016,1.96
2017,3.34
2018,4.73
2019,5.58
2020,1.93
2021,3.55
