date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1988,62.0
1989,92.0
1990,92.0
1991,92.0
1993,80.0
1994,92.0
1995,92.0
1996,92.0
1997,92.0
1998,92.0
1999,92.0
2000,92.0
2001,32.0
2002,92.0
2003,92.0
2004,92.0
2005,92.0
2006,92.0
2007,29.0
2008,76.0
2009,92.0
2010,92.0
2011,92.0
2012,92.0
2013,92.0
2014,27.0
2015,92.0
2016,56.0
2017,92.0
2018,92.0
2019,92.0
2020,36.0
2021,80.0
