date,mean early autumn Schmidt stability
1987,7208.88
1988,6144.98
1989,7268.42
1990,7374.7
1991,8741.03
1992,6080.98
1993,6847.51
1994,6760.69
1995,5811.78
1996,6058.91
1997,8591.14
1998,6215.97
1999,7190.9
2000,6183.59
2001,6230.48
2002,6824.32
2003,7502.3
2004,8430.19
2005,8552.58
2006,8098.32
2007,7218.43
2008,6916.84
2009,9042.72
2010,7924.87
2011,8621.62
2012,8027.6
2013,8389.41
2014,7271.13
2015,8186.09
2016,10441.93
2017,8044.19
2018,8348.54
2019,9723.12
2020,8860.32
2021,8053.76
2022,9781.42
2023,9131.28
