date,mean annual heat content
1987,2188876650.03
1988,2298643962.47
1989,2321136949.94
1990,2375286333.27
1991,2283228333.27
1993,2319281811.69
1994,2360159178.57
1995,2421251224.02
1996,2436715676.45
1997,2641670380.43
1998,2587506284.18
1999,2292142699.04
2000,2219998242.77
2001,2405305467.5
2002,2311966263.63
2003,2401350975.8
2004,2325586558.5
2005,2192526110.69
2006,2151262334.62
2007,2345864049.55
2008,2423799907.74
2009,2445522048.84
2010,2363088698.85
2011,2369235688.95
2012,2327205825.49
2013,2314217982.76
2014,2498200202.01
2015,2562548567.52
2016,2691655705.54
2017,2588522718.92
2018,2453501245.73
2019,2603991148.52
2020,2659611118.25
2021,2691316397.65
2022,2704374997.69
