date,mean autumn hypolimnetic density
1987,1000.108
1988,1000.1178
1989,1000.1098
1990,1000.1076
1991,1000.1203
1992,1000.1125
1993,1000.1247
1994,1000.1019
1995,1000.0943
1996,1000.1027
1997,1000.0692
1998,1000.0712
1999,1000.116
2000,1000.1206
2001,1000.1017
2002,1000.1152
2003,1000.1058
2004,1000.1232
2005,1000.1359
2006,1000.1387
2007,1000.1258
2008,1000.1095
2009,1000.1163
2010,1000.1162
2011,1000.1235
2012,1000.1257
2013,1000.1318
2014,1000.1156
2015,1000.1017
2016,1000.0889
2017,1000.1033
2018,1000.1214
2019,1000.0983
2020,1000.0932
