date,mean spring bottom oxygen concentration
1987,6.11
1988,5.64
1989,3.68
1990,3.32
1991,3.23
1992,4.77
1993,4.93
1994,4.36
1995,5.21
1996,5.87
1997,3.12
1998,4.46
1999,6.82
2000,6.76
2001,0.8
2002,4.07
2003,5.19
2004,6.92
2005,8.42
2006,7.34
2007,0.52
2008,2.19
2009,5.48
2010,7.34
2011,7.26
2012,4.64
2013,6.85
2014,0.25
2015,4.98
2016,0.21
2017,3.92
2018,6.26
2019,5.95
2020,0.31
2021,3.03
