date,mean winter surface temperature
1987,4.83
1988,6.12
1989,5.46
1990,5.84
1991,5.81
1993,5.98
1994,5.76
1995,5.73
1996,6.38
1997,6.53
1998,7.02
1999,6.38
2000,5.47
2001,6.17
2002,5.59
2003,6.61
2004,6.05
2005,5.61
2006,5.03
2007,6.98
2008,6.08
2009,6.12
2010,5.72
2011,5.59
2012,5.89
2013,6.02
2014,6.43
2015,6.79
2016,6.79
2017,6.23
2018,6.25
2019,6.07
2020,7.27
2021,6.7
2022,6.69
2023,7.34
