date,mean autumn Secchi depth
1987,3.39
1988,2.75
1989,6.09
1990,5.43
1991,5.86
1992,3.23
1993,5.53
1994,3.27
1995,3.39
1996,5.32
1997,3.18
1998,5.31
1999,2.77
2000,3.22
2001,3.92
2002,4.48
2003,5.0
2004,5.14
2005,5.07
2006,5.92
2007,5.74
2008,4.87
2009,5.23
2010,4.8
2011,4.54
2012,6.82
2014,5.44
2015,5.51
2016,5.32
2017,5.0
2018,5.49
2019,5.7
2020,4.67
2021,4.71
2022,4.97
2023,4.11
