date,mean autumn surface temperature
1987,16.78
1988,17.22
1989,15.75
1990,16.93
1991,16.51
1992,15.18
1993,14.83
1994,15.98
1995,16.48
1996,15.82
1997,18.0
1998,15.47
1999,15.53
2000,15.75
2001,17.34
2002,16.4
2003,16.2
2004,17.36
2005,17.57
2006,17.99
2007,17.02
2008,16.24
2009,17.65
2010,17.09
2011,17.98
2012,17.42
2013,17.1
2014,18.28
2015,16.84
2016,17.59
2017,16.92
2018,18.13
2019,18.42
2020,15.94
2021,17.23
2022,18.69
2023,18.73
