date_start,date_end,alk,As,Ba,Br,Cd,Ca,Cl,Cr,Cu,doc,drp,ec25_sensor,ec20_lab,F,Fe,Pb,Mg,q_mean_sensor,Hg,Ni,NO3_N,O2C_sensor,O2S_sensor,pH_lab,pH_sensor,K,H4SiO4,Na,Sr,SO4,tfp,th,tn,toc,tp,tss,temp_sensor,Zn
1980-12-29 11:40:00,1981-01-12 11:40:00,2.92,,,,,58.8,9.8,,,2.0,0.1,,340.0,,,,9.234,306.4768,,,1.28,,,8.3,,1.6,5,7.2,,31.0,,1.85,1.603,2.5,0.125,3.4,3.2815,
1981-01-12 11:20:00,1981-01-26 16:20:00,3.0,,,,,57.6,15.0,,,1.9,0.1,362.4538,380.0,,,,9.72,303.1992,,,1.61,12.2524,94.4693,8.3,7.9899,1.8,5.5,9.3,,31.0,,1.84,1.931,2.3,0.125,3.8,2.8862,
1981-01-26 16:20:00,1981-02-08 09:20:00,2.88,,,,,54.8,12.0,,,1.5,0.1,351.1515,360.0,,,,9.72,277.1343,,,1.45,12.4881,95.8178,8.3,7.9465,1.6,5.5,7.7,,30.0,,1.77,1.915,2.3,0.145,7.4,2.703,
1981-02-08 09:30:00,1981-02-23 11:30:00,2.96,,,,,58.4,10.0,,,,0.09,356.0458,360.0,,,,9.234,312.3616,,,1.5,12.3313,95.0994,8.4,7.9466,1.6,5,6.4,,34.0,,1.84,1.72,2.1,0.13,1.8,2.8946,
1981-02-23 11:15:00,1981-03-09 11:15:00,2.96,,,,,60.0,11.5,,,,0.11,352.0034,360.0,,,,9.477,282.1483,,,1.6,12.1381,94.96,8.4,7.9339,1.8,4,7.3,,33.0,,1.89,1.825,,0.155,5.6,3.4348,
1981-03-09 11:20:00,1981-03-23 11:20:00,2.88,,,,,54.8,8.6,,,1.8,0.08,334.0145,330.0,,,,8.991,521.7438,,,1.6,12.1049,99.189,8.5,7.9747,1.6,4,5.3,,27.0,,1.74,2.073,3.8,0.16,58,5.2081,
1981-03-23 11:25:00,1981-04-06 11:25:00,2.62,,,,,53.2,7.4,,,1.4,0.065,323.6684,320.0,,,,8.262,555.5472,,,1.1,12.6874,108.9548,8.2,8.1998,1.3,3,4.9,,28.0,,1.67,1.575,2.5,0.125,30,7.052,
1981-04-06 11:15:00,1981-04-20 12:15:00,2.5,,,,,50.0,7.0,,,1.4,0.04,307.9336,290.0,,,,7.776,580.2285,,,0.8,,,8.4,8.5578,1.3,2,5.2,,31.0,,1.57,1.413,2.7,0.1,7,9.5729,
1981-04-20 12:20:00,1981-05-04 11:20:00,2.52,,,,,51.2,7.4,,,1.6,0.025,316.5843,300.0,,,,8.019,500.6102,,,0.7,11.8334,108.221,8.2,8.3905,1.4,2,5.3,,33.0,,1.61,1.163,3.5,0.08,11,9.6147,
1981-05-04 10:55:00,1981-05-18 11:55:00,2.56,,,,,52.0,6.6,,,1.2,0.045,317.1323,290.0,,,,8.019,457.7327,,,0.7,11.6145,108.2371,8.4,8.311,1.2,2,5.2,,32.0,,1.63,1.04,1.9,0.085,8,10.4036,
