date_start,date_end,alk,As,Ba,Br,Cd,Ca,Cl,Cr,Cu,doc,drp,ec25_sensor,ec20_lab,F,Fe,Pb,Mg,q_mean_sensor,Hg,Ni,NO3_N,O2C_sensor,O2S_sensor,pH_lab,pH_sensor,K,H4SiO4,Na,Sr,SO4,tfp,th,tn,toc,tp,tss,temp_sensor,Zn
1994-12-27 11:50:00,1995-01-09 15:50:00,2.67,,,,0.03,52.531,9.36,,1.7,1.9,0.035,357.9226,300.0,,,2.52,7.776,1039.6748,,,2.12,12.1703,99.4692,8.19,8.1426,2.13,6.8,7.5,,22.39,,1.63,2.28,3.5,0.083,31.3,5.4926,5
1995-01-09 16:20:00,1995-01-23 14:20:00,2.82,,,,0.02,55.338,14.1,,1.3,2.0,0.041,397.4007,333.0,,,1.62,8.262,1022.719,<0.01,,2.07,12.5946,101.6027,8.3,8.1628,2.01,6.9,11.1,,26.7,,1.72,2.49,3.7,0.077,21,4.9862,4
1995-01-23 14:20:00,1995-02-06 11:20:00,2.61,,,,0.06,51.729,9.7,,2.1,2.0,0.042,361.1297,310.0,,,3.99,7.047,1871.2952,,,1.93,13.4033,110.5338,8.32,8.2125,1.85,7.7,7.4,,21.38,,1.58,2.39,4.7,0.157,67,5.8426,7
1995-02-06 11:45:00,1995-02-20 14:45:00,2.99,,,,0.01,57.7152,10.4,,1.0,1.9,0.026,372.1503,332.0,,,0.76,8.2661,1364.5541,<0.01,,1.98,12.4988,105.5402,8.31,8.2207,2.29,7.1,9.0,,25.2,,1.78,2.1,3.4,0.061,2.7,6.7746,2
1995-02-20 14:30:00,1995-03-06 07:30:00,3.06,,,,0.01,57.7152,10.5,,2.1,2.7,0.029,379.3932,338.0,,,0.9,9.7248,1493.6569,,,1.99,12.7223,106.6726,8.25,8.2427,2.44,6.9,8.8,,26.6,,1.84,2.22,3.2,0.065,10.3,6.4951,3
1995-03-06 07:40:00,1995-03-20 14:40:00,3.04,,,,0.01,62.124,11.7,,1.1,2.2,0.03,390.2434,346.0,,,0.47,7.5367,1085.5138,<0.01,,2.09,12.334,103.8565,8.33,8.2273,1.69,6.4,7.6,,29.3,,1.86,2.89,3.5,0.055,19,6.6632,2
1995-03-20 14:45:00,1995-04-03 14:45:00,3.04,,,,0.01,59.3184,9.8,,1.0,1.9,0.03,381.204,332.0,,,0.67,8.5092,1390.3047,,,1.88,12.563,106.6501,8.38,8.2609,1.88,7.0,8.2,,23.5,,1.83,2.09,3.5,0.0654,13.7,6.9869,3
1995-04-03 14:40:00,1995-04-18 15:40:00,2.9,,,,0.01,56.112,9.1,0.64,1.3,1.8,0.016,368.1291,326.0,,,0.34,8.5092,1243.4257,<0.01,0.69,1.62,11.9386,106.4253,8.26,8.2945,1.77,5.3,8.0,,24.2,,1.75,2.47,3.4,0.041,5.3,8.965,3
1995-04-18 15:20:00,1995-05-02 14:20:00,2.78,,,,0.02,53.7072,9.1,0.74,1.6,2.4,0.012,360.1501,324.0,,,0.59,8.2661,1333.5469,,1.38,1.53,11.611,105.522,8.39,8.2755,1.9,4.6,8.4,,24.9,,1.68,2.09,3.9,0.057,15.7,9.765,3
1995-05-02 13:50:00,1995-05-15 16:50:00,2.61,,,,0.01,52.9056,8.3,0.44,1.0,1.8,0.016,347.1535,308.0,,,0.37,6.8074,1532.0556,<0.01,0.76,1.32,10.9234,106.5772,8.25,8.2679,1.41,4.0,5.9,,25.3,,1.6,1.65,3.8,0.045,14,12.8108,2
