date_start,date_end,alk,As,Ba,Br,Cd,Ca,Cl,Cr,Cu,doc,drp,ec25_sensor,ec20_lab,F,Fe,Pb,Mg,q_mean_sensor,Hg,Ni,NO3_N,O2C_sensor,O2S_sensor,pH_lab,pH_sensor,K,H4SiO4,Na,Sr,SO4,tfp,th,tn,toc,tp,tss,temp_sensor,Zn
1998-11-23 07:10:00,1998-12-07 07:10:00,1.31,,,,0.12,45.2904,1.2,0.29,0.9,1.2,0.005,,274.0,,,0.33,10.211,,,0.43,0.34,,,8.11,,0.95,5.7,1.9,,83.1,,1.55,0.68,1.9,0.013,1,0.4241,3.0
1998-12-07 06:30:00,1998-12-21 06:30:00,1.39,,,,0.19,49.6992,1.7,0.29,0.8,0.9,0.011,,311.0,,,0.32,11.4266,,,0.51,0.49,,,8.19,,1.18,6.2,2.33,,101.0,,1.71,0.85,2.0,0.02,3.3,0.4146,4.0
1998-12-21 06:30:00,1999-01-04 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3137,
1999-01-04 06:30:00,1999-01-18 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,
1999-01-18 06:30:00,1999-02-01 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1999-02-01 06:30:00,1999-02-15 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1999-02-15 06:30:00,1999-03-01 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1419,
1999-03-01 06:30:00,1999-03-15 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7362,
1999-03-15 06:30:00,1999-03-29 11:30:00,1.49,,,,0.05,50.9,2.5,0.33,1.0,1.1,0.014,,328.0,,,0.55,12.6,,,0.57,0.71,,,7.98,,1.49,6.6,3.3,,96.0,,1.79,0.99,1.9,0.026,4,2.6816,4.0
1999-03-29 11:40:00,1999-04-12 07:40:00,1.39,,,,0.07,43.2864,2.1,0.25,0.9,1.3,0.016,310.4724,278.0,,,0.29,10.4542,7.68,,0.36,0.47,7.6698,71.774,8.02,8.0167,1.51,5.9,2.7,,74.9,,1.51,0.94,2.3,0.044,1,3.9542,2.0
1999-04-12 07:35:00,1999-04-26 07:35:00,1.44,,,,0.08,44.8896,2.1,0.67,0.8,1.3,0.016,324.5585,285.0,,,0.25,10.4542,7.1,,0.61,0.46,7.5796,70.9258,8.5,8.0721,1.32,6.1,2.4,,77.5,,1.55,1.04,1.5,0.03,1.7,3.9524,3.0
1999-04-26 07:25:00,1999-05-10 08:25:00,1.09,,,,0.05,26.4528,1.3,0.29,0.9,1.7,0.011,206.2037,170.0,,,0.73,6.3211,27.7161,,0.54,0.33,7.4792,70.9047,8.1,7.8042,0.92,5.2,1.5,,33.4,,0.92,0.65,2.5,0.038,17.3,4.4506,3.0
1999-05-10 08:25:00,1999-05-24 09:25:00,0.92,,,,0.16,22.4448,0.9,0.45,1.0,1,0.008,162.3193,144.0,,,1.6,4.8624,50.6862,,0.82,0.27,7.6529,73.5897,8.11,7.649,0.73,4.9,1.2,,28.3,,0.76,0.46,2.4,0.045,22.3,4.9976,36.0
1999-05-24 09:15:00,1999-06-07 17:15:00,0.79,,,,0.09,18.036,0.9,0.45,1.1,1.5,0.006,135.1572,132.0,,,2.63,3.8899,68.8616,,1.07,0.24,7.7793,77.852,7.95,7.6173,0.61,4.3,1.3,,19.9,,0.61,0.41,2.0,0.066,64.3,6.5589,5.0
