date_start,date_end,alk,As,Ba,Br,Cd,Ca,Cl,Cr,Cu,doc,drp,ec25_sensor,ec20_lab,F,Fe,Pb,Mg,q_mean_sensor,Hg,Ni,NO3_N,O2C_sensor,O2S_sensor,pH_lab,pH_sensor,K,H4SiO4,Na,Sr,SO4,tfp,th,tn,toc,tp,tss,temp_sensor,Zn
2018-12-24 10:20:00,2019-01-07 10:15:00,3.175,,,,,60.5501,4.851,,,3.1254,0.008,,304.6313,,,,5.2328,14.1648,,,1.5697,,,8.3306,,1.3673,6.5941,4.4358,,11.3024,0.0103,1.726,1.7199,4.1513,0.0634,99.083,3.2817,
2019-01-07 10:15:00,2019-01-21 10:15:00,3.1408,,,,,61.7357,12.3577,,,3.4301,0.0181,,331.9538,,,,5.2512,10.3408,,,2.2506,,,8.3082,,1.6797,6.7154,8.5343,,10.9832,0.0211,1.7563,2.4093,4.3182,0.0483,25.3587,2.4828,
2019-01-21 10:15:00,2019-02-04 10:25:00,3.7023,,,,,70.8429,14.0908,,,2.0401,0.0073,,381.7157,,,,6.6346,5.0179,,,1.886,,,8.3449,,1.7182,7.0487,10.2897,,13.758,0.0093,2.0404,1.9829,2.6178,0.0217,9.0998,1.6142,
2019-02-04 10:25:00,2019-02-18 10:15:00,3.4946,,,,,67.9467,13.6956,,,2.9419,0.0057,,363.2799,,,,5.853,9.6659,,,2.3142,,,8.3571,,1.7552,6.0206,9.2756,,11.647,0.0091,1.936,2.4064,3.7742,0.035,20.3277,2.0918,
2019-02-18 10:15:00,2019-03-04 09:15:00,3.1318,,,,,60.4641,5.8161,,,3.0035,<0.001,,305.3215,,,,5.0248,13.5046,,,1.4917,,,8.29,,1.2511,4.7244,4.5463,,11.2108,<0.003,1.7153,1.6455,3.9386,0.0193,13.382,4.2347,
2019-03-04 09:15:00,2019-03-18 10:05:00,2.5093,,,,,48.3943,4.1536,,,3.577,0.0018,,241.8948,,,,3.5448,20.5167,,,1.1063,,,8.2568,,0.9531,4.8826,3.1533,,7.1144,0.0035,1.3532,1.3209,4.7864,0.0377,40.9706,5.056,
2019-03-18 10:05:00,2019-04-01 11:00:00,3.0847,,,,,58.8316,4.8646,,,2.8889,0.0015,,295.9125,,,,4.9382,9.5255,,,1.1515,,,8.2827,,1.155,4.9587,4.2567,,11.1127,<0.003,1.671,1.2295,3.5058,0.0117,6.5492,6.2076,
2019-04-01 11:00:00,2019-04-15 10:20:00,2.8801,,,,,54.8497,4.753,,,2.6512,0.002,,278.2885,,,,4.5949,10.0815,,,0.8994,,,8.3028,,1.1573,3.9167,4.2972,,11.0637,0.0039,1.5575,1.0338,3.1453,0.0111,7.0405,6.7003,
2019-04-15 10:20:00,2019-04-29 10:30:00,2.4249,,,,,46.233,2.8989,,,2.8136,<0.001,,231.0191,,,,3.6033,14.1625,,,0.557,,,8.2747,,0.8475,3.0148,2.9358,,9.7728,<0.003,1.3017,0.6967,3.2822,0.0096,4.9175,9.1148,
2019-04-29 10:30:00,2019-05-13 09:35:00,2.5921,,,,,49.0103,3.1789,,,3.2889,0.0012,,244.3597,,,,3.7637,20.5905,,,0.7206,,,8.2861,,1.0683,3.8808,3.0158,,8.3187,0.0038,1.3776,0.9683,4.3885,0.0343,29.1564,8.0678,
2019-05-13 09:35:00,2019-05-27 10:10:00,2.5746,,,,,48.5646,2.8952,,,3.2555,0.0058,,241.7918,,,,3.7535,26.5582,,,0.8264,,,8.3005,,1.0886,4.8329,2.7578,,7.633,0.0088,1.3661,1.0547,4.3396,0.0468,47.2392,10.0514,
2019-05-27 10:10:00,2019-06-11 10:30:00,2.7052,,,,,50.7953,3.6712,,,2.4978,0.0041,,254.7556,,,,4.0384,22.2096,,,0.7837,,,8.3067,,1.0984,5.0712,2.9553,,8.1865,0.0074,1.4335,1.023,3.5781,0.0478,59.8457,13.4571,
2019-06-11 10:30:00,2019-06-24 10:05:00,2.7804,,,,,52.1329,3.5352,,,3.2135,0.003,,263.8914,,,,4.2593,13.9082,,,0.7888,,,8.2972,,1.2196,5.024,3.4216,,8.9094,0.0079,1.4759,1.0538,4.7763,0.0776,103.9227,15.7525,
2019-06-24 10:05:00,2019-07-08 10:30:00,3.1678,,,,,59.5893,6.1165,,,3.0558,<0.001,,309.6794,,,,5.4762,5.5157,,,0.9426,,,8.3592,,1.5345,4.9259,5.21,,12.5509,<0.003,1.712,1.1238,3.6019,0.0264,14.6453,22.4116,
2019-07-08 10:30:00,2019-07-22 10:30:00,3.0699,,,,,57.137,6.7915,,,4.3508,0.0012,,306.6112,,,,5.7013,4.3583,,,1.0623,,,8.3213,,1.6466,4.9738,5.9697,,12.7567,0.0035,1.6601,1.3374,5.0417,0.0313,31.469,19.5703,
2019-07-22 10:30:00,2019-08-05 10:35:00,2.4798,,,,,46.3639,3.567,,,5.6164,0.0011,,240.5418,,,,3.9314,10.9924,,,0.8333,,,8.2787,,1.3726,5.5153,3.5594,,8.8034,0.0049,1.3185,1.1944,6.7148,0.1591,235.2424,20.2851,
2019-08-05 10:35:00,2019-08-19 10:05:00,2.963,,,,,55.4249,3.6624,,,4.6365,0.0042,,280.3346,,,,4.4901,11.7407,,,1.0005,,,8.3341,,1.5437,6.382,3.903,,9.7971,0.0085,1.5675,1.349,6.2171,0.0687,65.1994,17.973,
