Site,Date,Secchi depth [m]
Gandria,19.11.1990,8.6
Gandria,18.12.1990,9.4
Gandria,31.01.1991,12.3
Gandria,21.02.1991,12.6
Gandria,21.03.1991,2.7
Gandria,23.04.1991,2.2
Gandria,21.05.1991,7.8
Gandria,18.06.1991,8
Gandria,23.07.1991,4.7
Gandria,27.08.1991,4.8
Gandria,11.09.1991,5.1
Gandria,09.10.1991,4.8
Gandria,06.11.1991,7.1
Gandria,04.12.1991,11.6
Gandria,21.01.1992,11.5
Gandria,27.02.1992,6.9
Gandria,10.03.1992,5.7
Gandria,17.03.1992,5.6
Gandria,14.04.1992,2.7
Gandria,15.04.1992,3.3
Gandria,29.04.1992,2.8
Gandria,14.05.1992,7.7
Gandria,10.06.1992,6.1
Gandria,23.06.1992,4.4
Gandria,08.07.1992,4
Gandria,23.07.1992,5.9
Gandria,05.08.1992,5.5
Gandria,09.09.1992,4.8
Gandria,07.10.1992,4
Gandria,04.11.1992,5.2
Gandria,02.12.1992,4.1
Gandria,13.01.1993,4.6
Gandria,04.02.1993,6.4
Gandria,11.03.1993,8.2
Gandria,29.03.1993,4.9
Gandria,08.04.1993,3.8
Gandria,28.04.1993,2.7
Gandria,06.05.1993,3.5
Gandria,27.05.1993,7
Gandria,22.06.1993,5.5
Gandria,08.07.1993,4.5
Gandria,26.07.1993,6.4
Gandria,05.08.1993,4.8
Gandria,16.09.1993,6.4
Gandria,21.10.1993,5.2
Gandria,16.11.1993,8.1
Gandria,09.12.1993,8.2
Gandria,12.01.1994,7.6
Gandria,08.02.1994,7.8
Gandria,08.03.1994,6.1
Gandria,17.03.1994,2.4
Gandria,05.04.1994,4.7
Gandria,13.04.1994,6.2
Gandria,03.05.1994,5.6
Gandria,10.05.1994,9.3
Gandria,07.06.1994,6.2
Gandria,15.06.1994,3.8
Gandria,15.07.1994,7.1
Gandria,04.08.1994,3.1
Gandria,17.08.1994,4.2
Gandria,15.09.1994,2.7
Gandria,19.09.1994,4
Gandria,12.10.1994,4.8
Gandria,16.11.1994,7.9
Gandria,14.12.1994,9.3
Gandria,11.01.1995,8.3
Gandria,08.02.1995,9.6
Gandria,07.03.1995,7.9
Gandria,15.03.1995,5.4
Gandria,04.04.1995,4.7
Gandria,12.04.1995,4.7
Gandria,04.05.1995,2.8
Gandria,17.05.1995,5.5
Gandria,07.06.1995,2.6
Gandria,13.06.1995,4.6
Gandria,04.07.1995,6
Gandria,12.07.1995,4.4
Gandria,09.08.1995,3.3
Gandria,14.09.1995,4.1
Gandria,12.10.1995,4
Gandria,16.11.1995,3.8
Gandria,14.12.1995,4.6
Gandria,18.01.1996,5
Gandria,15.02.1996,6
Gandria,06.03.1996,6.1
Gandria,21.03.1996,5.1
Gandria,09.04.1996,3.7
Gandria,17.04.1996,4.3
Gandria,06.05.1996,3.4
Gandria,14.05.1996,4.1
Gandria,05.06.1996,3.8
Gandria,13.06.1996,4.7
Gandria,10.07.1996,2.5
Gandria,22.07.1996,3.6
Gandria,06.08.1996,5.2
Gandria,27.08.1996,5.2
Gandria,13.09.1996,6.1
Gandria,24.09.1996,6.1
Gandria,04.10.1996,6.5
Gandria,23.10.1996,6.7
Gandria,07.11.1996,6.9
Gandria,26.11.1996,5.1
Gandria,12.12.1996,7.4
Gandria,17.12.1996,5.8
Gandria,10.01.1997,8.1
Gandria,28.01.1997,8.1
Gandria,20.02.1997,7.8
Gandria,25.02.1997,4.5
Gandria,13.03.1997,3.6
Gandria,25.03.1997,4.6
Gandria,10.04.1997,6
Gandria,21.04.1997,5.7
Gandria,07.05.1997,6.2
Gandria,20.05.1997,6.9
Gandria,05.06.1997,10.8
Gandria,18.06.1997,9
Gandria,03.07.1997,6.3
Gandria,15.07.1997,7.5
Gandria,07.08.1997,7.5
Gandria,27.08.1997,4.7
Gandria,11.09.1997,4.8
Gandria,23.09.1997,4.7
Gandria,09.10.1997,5.4
Gandria,21.10.1997,6.1
Gandria,06.11.1997,8.2
Gandria,17.11.1997,8
Gandria,09.12.1997,10.3
Gandria,16.12.1997,10.3
Gandria,15.01.1998,13.5
Gandria,27.01.1998,12.9
Gandria,12.02.1998,12.9
Gandria,23.02.1998,8.1
Gandria,13.03.1998,6.6
Gandria,23.03.1998,6.9
Gandria,09.04.1998,7.4
Gandria,21.04.1998,9.2
Gandria,07.05.1998,9.6
Gandria,19.05.1998,7.7
Gandria,05.06.1998,8.7
Gandria,16.06.1998,9.1
Gandria,02.07.1998,7.7
Gandria,23.07.1998,4.3
Gandria,13.08.1998,3.7
Gandria,24.08.1998,3.3
Gandria,10.09.1998,3.5
Gandria,22.09.1998,3.3
Gandria,09.10.1998,7.4
Gandria,27.10.1998,8.5
Gandria,06.11.1998,11.4
Gandria,18.11.1998,8.8
Gandria,11.12.1998,10.2
Gandria,15.12.1998,9.3
Gandria,14.01.1999,8.9
Gandria,26.01.1999,9.4
Gandria,18.02.1999,6.5
Gandria,24.02.1999,8.2
Gandria,23.03.1999,2.9
Gandria,01.04.1999,2.6
Gandria,13.04.1999,6.2
Gandria,27.04.1999,7.6
Gandria,10.05.1999,11.2
Gandria,26.05.1999,7.3
Gandria,09.06.1999,8.1
Gandria,23.06.1999,4.9
Gandria,09.07.1999,4.9
Gandria,29.07.1999,2.8
Gandria,11.08.1999,4.1
Gandria,24.08.1999,2.7
Gandria,09.09.1999,2.9
Gandria,29.09.1999,2.5
Gandria,05.10.1999,2.5
Gandria,19.10.1999,2.9
Gandria,09.11.1999,4.3
Gandria,16.11.1999,4.3
Gandria,01.12.1999,6.7
Gandria,14.12.1999,7.2
Gandria,11.01.2000,11.2
Gandria,26.01.2000,11
Gandria,08.02.2000,9.6
Gandria,22.02.2000,10.2
Gandria,07.03.2000,9.8
Gandria,21.03.2000,5.4
Gandria,03.04.2000,3.6
Gandria,19.04.2000,4.6
Gandria,02.05.2000,7.5
Gandria,23.05.2000,6.7
Gandria,06.06.2000,6.6
Gandria,20.06.2000,4.1
Gandria,11.07.2000,4.4
Gandria,25.07.2000,4.6
Gandria,08.08.2000,4.5
Gandria,22.08.2000,3.5
