date,mean summer bottom temperature
1967,4.4
1968,4.3
1969,4.2
1970,4.1
1971,4.12
1972,4.24
1973,4.3
1974,4.41
1975,4.67
1976,4.42
1977,4.5
1978,4.43
1979,4.44
1980,4.5
1981,4.1
1982,4.2
1983,4.3
1984,4.2
1985,3.93
1986,4.08
1987,4.01
1988,4.17
1989,4.4
1990,4.74
1991,4.4
1992,4.4
1993,4.6
1994,4.59
1995,4.86
1996,4.5
1997,4.5
1998,4.6
1999,4.54
2000,4.6
2001,4.7
2002,4.84
2003,4.6
2004,4.6
2005,4.3
2006,3.92
2007,4.1
2008,4.5
2009,4.54
2010,4.24
2011,4.4
2012,4.2
2013,4.3
2014,4.4
2015,4.6
2016,4.8
2017,4.8
2018,4.62
2019,4.8
2020,5.0
2021,5.1
2022,5.3
2023,5.4
