date,mean winter epilimnion 0-10 m oxygen concentration
1964,11.22
1965,10.4
1966,10.76
1967,10.84
1968,10.47
1969,10.52
1970,10.47
1971,10.62
1972,10.06
1973,10.24
1974,10.4
1975,11.18
1976,10.92
1977,11.39
1978,10.8
1979,10.92
1980,10.9
1981,11.13
1982,10.83
1983,11.26
1984,11.41
1985,10.69
1986,11.34
1987,11.4
1988,10.81
1989,10.5
1990,10.18
1991,10.8
1992,10.62
1993,10.77
1994,10.62
1995,10.66
1996,10.52
1997,10.88
1998,10.77
1999,10.86
2000,10.88
2001,10.68
2002,10.7
2003,10.7
2004,10.7
2005,10.73
2006,10.64
2007,10.88
2008,10.86
2009,10.63
2010,11.24
2011,10.95
2012,10.72
2013,10.79
2014,11.04
2015,10.32
2016,10.54
2017,10.59
2018,10.73
2019,10.84
2020,10.83
2021,10.76
2022,10.58
2023,10.67
