date,minimum bottom oxygen concentration
1964,3.5
1965,5.1
1966,4.8
1967,6.1
1968,5.6
1969,5.8
1970,7.0
1971,2.4
1972,3.4
1973,2.3
1974,4.8
1975,4.6
1976,3.4
1977,6.5
1978,6.4
1979,6.4
1980,5.3
1981,7.0
1982,5.8
1983,6.3
1984,6.2
1985,5.6
1986,5.6
1987,6.4
1988,4.6
1989,4.3
1990,4.3
1991,5.0
1992,6.3
1993,5.0
1994,5.9
1995,6.1
1996,6.3
1997,6.5
1998,6.1
1999,7.0
2000,7.2
2001,6.1
2002,6.8
2003,6.7
2004,7.2
2005,7.5
2006,7.3
2007,7.0
2008,6.6
2009,6.6
2010,7.9
2011,6.3
2012,7.2
2013,6.2
2014,6.5
2015,5.9
2016,5.2
2017,6.55
2018,7.15
2019,7.8
2020,7.4
2021,7.5
2022,6.85
2023,7.35
