date,mean spring bottom temperature
1968,4.18
1969,4.1
1970,4.01
1971,4.1
1972,4.1
1973,4.27
1974,4.42
1975,4.6
1976,4.4
1977,4.37
1978,4.3
1979,4.3
1980,4.47
1981,3.93
1982,4.1
1983,4.29
1984,4.1
1985,3.9
1986,3.98
1987,3.87
1988,4.08
1989,4.4
1990,4.7
1991,4.35
1992,4.3
1993,4.5
1994,4.6
1995,4.79
1996,4.4
1997,4.4
1998,4.5
1999,4.4
2000,4.5
2001,4.6
2002,4.75
2003,4.5
2004,4.48
2005,4.22
2006,3.9
2007,4.1
2008,4.43
2009,4.5
2010,4.2
2011,4.3
2012,4.04
2013,4.22
2014,4.33
2015,4.5
2016,4.74
2017,4.8
2018,4.6
2019,4.7
2020,4.95
2021,5.1
2022,5.24
2023,5.4
