date,mean summer thermocline depth
1967,10.22
1968,17.49
1969,13.65
1970,8.76
1971,11.84
1972,10.09
1973,10.74
1974,14.84
1975,10.99
1976,10.36
1977,10.86
1978,15.6
1979,12.7
1980,12.27
1981,9.53
1982,13.42
1983,8.53
1984,14.3
1985,11.86
1986,7.7
1987,9.0
1988,10.81
1989,13.66
1990,11.2
1991,10.73
1992,11.38
1993,13.77
1994,8.14
1995,8.64
1996,13.99
1997,11.82
1998,10.4
1999,8.8
2000,9.42
2001,12.14
2002,9.93
2003,10.2
2004,10.99
2005,10.86
2006,9.62
2007,10.94
2008,8.9
2009,12.07
2010,5.58
2011,12.18
2012,9.28
2013,12.07
2014,12.79
2015,7.15
2016,7.99
2017,9.6
2018,8.7
2019,6.72
2020,10.31
2021,10.21
2022,10.82
2023,11.23
