date,mean annual bottom temperature
1968,4.28
1969,4.19
1970,4.08
1971,4.12
1972,4.18
1973,4.29
1974,4.43
1975,4.59
1976,4.41
1977,4.4
1978,4.43
1979,4.36
1980,4.47
1981,4.08
1982,4.16
1983,4.29
1984,4.21
1985,3.98
1986,4.06
1987,3.99
1988,4.18
1989,4.44
1990,4.7
1991,4.46
1992,4.38
1993,4.53
1994,4.62
1995,4.81
1996,4.53
1997,4.45
1998,4.56
1999,4.49
2000,4.59
2001,4.67
2002,4.78
2003,4.6
2004,4.57
2005,4.31
2006,3.97
2007,4.13
2008,4.5
2009,4.57
2010,4.3
2011,4.35
2012,4.17
2013,4.27
2014,4.37
2015,4.55
2016,4.78
2017,4.81
2018,4.67
2019,4.77
2020,4.98
2021,5.13
2022,5.27
2023,5.39
