date,mean winter bottom temperature
1968,4.47
1969,4.3
1970,4.16
1971,4.1
1972,4.1
1973,4.2
1974,4.4
1975,4.5
1976,4.57
1977,4.3
1978,4.5
1979,4.36
1980,4.4
1981,4.4
1982,4.1
1983,4.14
1984,4.4
1985,4.2
1986,4.1
1987,4.09
1988,4.04
1989,4.4
1990,4.5
1991,4.78
1992,4.44
1993,4.5
1994,4.6
1995,4.41
1996,5.12
1997,4.38
1998,4.5
1999,4.6
2000,4.56
2001,4.6
2002,4.7
2003,4.8
2004,4.6
2005,4.6
2006,4.3
2007,4.0
2008,4.3
2009,4.7
2010,4.6
2011,4.3
2012,4.35
2013,4.2
2014,4.3
2015,4.4
2016,4.64
2017,4.9
2018,4.9
2019,4.73
2020,4.82
2021,5.1
2022,5.2
2023,5.32
