date,mean annual bottom density
1969,1000.1731
1970,1000.1873
1971,1000.1874
1972,1000.1834
1973,1000.1745
1974,1000.1723
1975,1000.1739
1976,1000.1863
1977,1000.1915
1978,1000.1898
1979,1000.1947
1981,1000.2004
1982,1000.1986
1983,1000.1894
1984,1000.1868
1985,1000.192
1986,1000.1932
1987,1000.2057
1988,1000.2035
1989,1000.2014
1990,1000.2001
1991,1000.2028
1992,1000.1905
1993,1000.186
1994,1000.1838
1995,1000.1824
1996,1000.1854
1997,1000.1876
1998,1000.1869
1999,1000.1869
2000,1000.1852
2001,1000.1853
2002,1000.1823
2003,1000.1841
2004,1000.1857
2005,1000.1872
2006,1000.193
2007,1000.1929
2008,1000.1912
2009,1000.1922
2010,1000.1941
2011,1000.1966
2012,1000.1978
2013,1000.1962
2014,1000.1955
2015,1000.19
2016,1000.1936
2017,1000.1928
2018,1000.195
2019,1000.1932
2020,1000.1899
2021,1000.1864
2022,1000.1825
2023,1000.1784
