date,mean annual surface temperature
1968,11.7
1969,11.4
1970,10.67
1971,11.14
1972,11.37
1973,11.59
1974,10.87
1975,11.26
1976,12.06
1977,10.91
1978,10.86
1979,11.52
1980,10.49
1981,11.67
1982,11.16
1983,11.19
1984,10.18
1985,10.52
1986,11.31
1987,11.0
1988,11.73
1989,11.39
1990,11.94
1991,11.41
1992,12.07
1993,11.63
1994,12.39
1995,12.44
1996,11.16
1997,11.82
1998,11.47
1999,11.49
2000,12.39
2001,11.74
2002,12.32
2003,12.84
2004,12.29
2005,12.3
2006,11.96
2007,12.35
2008,12.08
2009,12.87
2010,11.99
2011,12.96
2012,12.33
2013,11.3
2014,13.39
2015,13.09
2016,13.65
2017,13.12
2018,13.95
2019,13.46
2020,13.22
2021,12.6
2022,14.11
2023,12.68
