date,mean early autumn hypolimnetic oxygen content
1963,359682.67
1964,329605.69
1965,343669.61
1966,354602.86
1967,358266.73
1968,365337.16
1969,348769.51
1970,375268.17
1971,341375.52
1972,308663.64
1973,339359.67
1974,342658.25
1975,360741.94
1976,363671.99
1977,378311.14
1978,377817.61
1979,367112.75
1980,357881.97
1981,359549.32
1982,375284.75
1983,374396.91
1984,371293.83
1985,354840.04
1986,376505.39
1987,343770.77
1988,340535.82
1989,331365.36
1990,330131.21
1991,323047.62
1992,344136.05
1993,343554.13
1994,357831.54
1995,350506.5
1996,365423.76
1997,359366.35
1998,352124.76
1999,366398.86
2000,366858.13
2001,344100.04
2002,357910.26
2003,350947.95
2004,361231.36
2005,363137.74
2006,380786.28
2007,342994.53
2008,344083.42
2009,367950.64
2010,363750.86
2011,352939.11
2012,362545.4
2013,367567.27
2014,337057.62
2015,351800.23
2016,334952.85
2017,344732.44
2018,370697.44
2019,372117.8
2020,357559.94
2021,356148.0
2022,351334.72
2023,357225.36
