date,mean early autumn bottom oxygen concentration
1963,5.47
1964,3.71
1965,6.25
1966,5.72
1967,6.6
1968,7.32
1969,5.91
1970,7.11
1971,3.62
1972,3.93
1973,5.45
1974,5.1
1975,4.77
1976,4.41
1977,7.26
1978,6.44
1979,7.31
1980,7.89
1981,7.8
1982,6.21
1983,7.78
1984,6.99
1985,5.81
1986,7.19
1987,7.74
1988,5.49
1989,5.31
1990,4.72
1991,5.48
1992,7.4
1993,5.29
1994,7.23
1995,6.29
1996,7.69
1997,6.82
1998,6.57
1999,7.65
2000,7.32
2001,6.81
2002,7.06
2003,7.02
2004,7.79
2005,9.48
2006,7.98
2007,7.52
2008,6.99
2009,7.42
2010,8.3
2011,6.52
2012,7.52
2013,6.65
2014,6.81
2015,6.46
2016,5.91
2017,6.85
2018,8.27
2019,8.15
2020,7.9
2021,7.97
2022,7.09
2023,8.18
