date,mean summer epilimnion 5-10 m oxygen concentration
1963,9.26
1964,9.31
1965,9.57
1966,9.32
1967,9.52
1968,9.77
1969,9.59
1970,9.47
1971,8.42
1972,9.52
1973,9.06
1974,11.78
1975,10.6
1976,8.46
1977,9.53
1978,10.41
1979,9.91
1980,11.3
1981,12.15
1982,10.8
1983,9.27
1984,9.48
1985,10.15
1986,9.65
1987,9.53
1988,8.82
1989,8.26
1990,10.38
1991,9.52
1992,9.16
1993,9.58
1994,10.11
1995,8.96
1996,10.08
1997,9.6
1998,9.29
1999,9.41
2000,9.54
2001,9.66
2002,8.9
2003,10.79
2004,9.9
2005,9.59
2006,9.64
2007,10.0
2008,9.74
2009,9.74
2010,9.35
2011,9.82
2012,10.13
2013,10.27
2014,9.83
2015,9.95
2016,9.44
2017,9.94
2018,11.61
2019,10.63
2020,10.23
2021,9.42
2022,9.75
2023,9.58
