date,mean annual heat content
1968,2439511551.1
1969,2347017053.22
1970,2266773800.72
1971,2249791705.3
1972,2458668301.14
1973,2368819505.21
1974,2460835172.5
1975,2540360863.23
1976,2444074214.29
1977,2480062194.2
1978,2467554135.99
1979,2429581266.04
1980,2465774535.05
1981,2385637362.92
1982,2358638466.52
1983,2478415240.92
1984,2334016793.89
1985,2284327450.87
1986,2182907687.67
1987,2259732243.49
1988,2456119125.13
1989,2566890967.53
1990,2620628120.17
1991,2460019197.88
1992,2498445102.52
1993,2505472465.09
1994,2712107747.56
1995,2704956539.85
1996,2490093526.04
1997,2533483278.37
1998,2601702721.58
1999,2452631786.93
2000,2547997146.43
2001,2681207833.98
2002,2693956397.45
2003,2596931238.76
2004,2513750466.09
2005,2404317934.09
2006,2287945509.32
2007,2688194361.83
2008,2669641552.11
2009,2549147705.89
2010,2409821333.33
2011,2485759304.91
2012,2458467521.3
2013,2404571068.18
2014,2734579599.85
2015,2616926920.73
2016,2766613525.84
2017,2666305116.1
2018,2616736404.64
2019,2769184848.49
2020,2895248023.76
2021,2839670774.25
2022,2944646399.75
2023,2864990164.51
