date,mean annual hypolimnetic density
1969,1000.1563
1970,1000.1709
1971,1000.1781
1972,1000.1639
1973,1000.1632
1974,1000.1581
1975,1000.1583
1976,1000.1754
1977,1000.1748
1978,1000.1754
1979,1000.1754
1981,1000.176
1982,1000.1811
1983,1000.1702
1984,1000.1737
1985,1000.1784
1986,1000.1829
1987,1000.1935
1988,1000.1856
1989,1000.1823
1990,1000.1807
1991,1000.1913
1992,1000.1745
1993,1000.173
1994,1000.1616
1995,1000.1612
1996,1000.1686
1997,1000.1691
1998,1000.1675
1999,1000.1727
2000,1000.1692
2001,1000.1611
2002,1000.1608
2003,1000.1682
2004,1000.1744
2005,1000.1779
2006,1000.1827
2007,1000.1642
2008,1000.1694
2009,1000.1801
2010,1000.1807
2011,1000.1841
2012,1000.1813
2013,1000.1821
2014,1000.1694
2015,1000.1733
2016,1000.167
2017,1000.1772
2018,1000.1816
2019,1000.1676
2020,1000.1623
2021,1000.1639
2022,1000.1635
2023,1000.161
