date,mean autumn epilimnion 5-10 m oxygen concentration
1963,10.76
1964,9.9
1965,9.75
1966,8.93
1967,9.89
1968,10.02
1969,9.44
1970,9.5
1971,9.42
1972,9.64
1973,9.33
1974,10.28
1975,10.4
1976,9.66
1977,11.71
1978,10.42
1979,10.45
1980,10.5
1981,9.94
1982,10.43
1983,10.22
1984,10.22
1985,10.46
1986,10.52
1987,9.42
1988,9.28
1989,9.9
1990,9.96
1991,9.45
1992,9.56
1993,9.6
1994,9.61
1995,10.04
1996,9.66
1997,9.55
1998,9.72
1999,9.61
2000,9.37
2001,9.83
2002,9.67
2003,9.17
2004,9.78
2005,9.8
2006,9.32
2007,9.58
2008,9.81
2009,9.58
2010,9.96
2011,9.24
2012,9.65
2013,9.6
2014,9.87
2015,9.8
2016,9.33
2017,9.59
2018,9.9
2019,10.19
2020,9.54
2021,9.21
2022,9.29
2023,9.14
