date,mean autumn surface temperature
1967,14.66
1968,13.38
1969,14.38
1970,12.21
1971,13.38
1972,11.22
1973,12.51
1974,10.89
1975,12.94
1976,13.86
1977,12.87
1978,12.35
1979,13.32
1980,13.82
1981,13.12
1982,12.53
1983,14.16
1984,12.72
1985,15.04
1986,13.67
1987,13.15
1988,13.4
1989,14.04
1990,13.24
1991,13.77
1992,13.39
1993,12.42
1994,13.27
1995,13.8
1996,12.46
1997,14.44
1998,12.89
1999,13.25
2000,13.7
2001,14.33
2002,13.03
2003,12.34
2004,14.28
2005,14.47
2006,15.45
2007,14.54
2008,12.34
2009,15.49
2010,13.61
2011,15.22
2012,14.33
2013,14.13
2014,15.66
2015,13.75
2016,14.66
2017,14.09
2018,15.76
2019,14.59
2020,14.26
2021,14.52
2022,15.07
2023,16.53
