date,mean winter hypolimnetic density
1970,1000.1665
1971,1000.184
1972,1000.1745
1973,1000.1706
1974,1000.1669
1975,1000.1576
1976,1000.1609
1977,1000.1836
1978,1000.1804
1979,1000.1816
1980,1000.1764
1981,1000.1846
1982,1000.1853
1983,1000.1714
1985,1000.1834
1986,1000.1828
1987,1000.1868
1988,1000.1919
1989,1000.1809
1990,1000.194
1991,1000.191
1992,1000.1842
1993,1000.1794
1994,1000.1752
1995,1000.1726
1996,1000.1712
1997,1000.1819
1998,1000.1688
1999,1000.1729
2000,1000.1781
2001,1000.1677
2002,1000.1746
2003,1000.1597
2004,1000.1715
2005,1000.1743
2006,1000.1824
2007,1000.1782
2008,1000.1754
2009,1000.1786
2010,1000.1835
2011,1000.1878
2012,1000.184
2013,1000.1856
2014,1000.1784
2015,1000.1764
2016,1000.1672
2017,1000.1788
2018,1000.1771
2019,1000.1839
2020,1000.1655
2021,1000.1671
2022,1000.1646
2023,1000.1614
