date,mean autumn epilimnion 0-10 m oxygen concentration
1963,10.77
1964,10.29
1965,9.86
1966,9.55
1967,10.12
1968,9.96
1969,9.65
1970,9.79
1971,9.42
1972,9.8
1973,9.64
1974,10.26
1975,10.74
1976,10.64
1977,12.16
1978,10.65
1979,10.41
1980,10.74
1981,10.42
1982,9.72
1983,10.37
1984,10.23
1985,10.45
1986,10.58
1987,9.63
1988,9.29
1989,9.99
1990,10.21
1991,9.44
1992,9.63
1993,9.6
1994,9.76
1995,10.63
1996,9.71
1997,9.59
1998,9.74
1999,9.63
2000,9.46
2001,10.28
2002,9.7
2003,9.43
2004,10.06
2005,9.88
2006,9.59
2007,9.62
2008,9.84
2009,9.61
2010,10.02
2011,9.27
2012,9.67
2013,9.65
2014,9.97
2015,9.88
2016,9.42
2017,9.63
2018,9.82
2019,9.97
2020,9.77
2021,9.26
2022,9.25
2023,9.21
