date,mean summer Schmidt stability
1967,12081.49
1968,7754.15
1969,9065.0
1970,8671.01
1971,13411.19
1972,11259.68
1973,11699.77
1974,12054.91
1975,10060.16
1976,16909.31
1977,12755.54
1978,9629.4
1979,12434.49
1980,9384.05
1981,11075.07
1982,11671.66
1983,10757.8
1984,6974.37
1985,11894.08
1986,8262.94
1987,9085.17
1988,11277.3
1989,11106.17
1990,12418.72
1991,10644.22
1992,13682.23
1993,16174.27
1994,16297.92
1995,12649.61
1996,7060.59
1997,11746.85
1998,11271.15
1999,10616.09
2000,11964.64
2001,12773.31
2002,13646.02
2003,16297.78
2004,12158.49
2005,13635.72
2006,12775.52
2007,12368.73
2008,12636.52
2009,12555.85
2010,10245.1
2011,11850.38
2012,13768.59
2013,12422.64
2014,14868.83
2015,12945.61
2016,12773.72
2017,15322.64
2018,14751.4
2019,13964.35
2020,11772.82
2021,14064.0
2022,17509.76
2023,10103.65
