date,mean early autumn Schmidt stability
1967,10771.38
1968,12239.42
1969,10491.44
1970,11608.57
1971,11265.87
1972,10810.39
1973,12372.91
1974,11527.32
1975,10491.53
1976,10128.3
1977,10686.93
1978,8907.45
1979,11405.34
1980,11859.64
1981,12472.47
1982,9355.26
1983,12190.91
1984,8370.61
1985,11522.89
1986,8600.1
1987,9309.69
1988,10861.93
1989,12101.04
1990,11147.92
1991,13675.27
1992,14068.63
1993,10342.07
1994,16016.2
1995,8290.55
1996,12402.3
1997,13009.75
1998,12226.11
1999,11322.37
2000,11479.59
2001,9339.63
2002,12694.69
2003,13020.99
2004,12155.95
2005,10965.74
2006,12497.17
2007,15496.72
2008,12069.48
2009,13128.77
2010,11181.46
2011,13949.9
2012,13652.68
2013,13716.82
2014,14078.35
2015,13350.8
2016,14055.69
2017,13333.29
2018,13452.74
2019,13997.67
2020,13981.52
2021,12331.31
2022,16015.61
2023,15567.53
