date,mean autumn hypolimnetic density
1969,1000.1513
1970,1000.1643
1971,1000.1702
1972,1000.1457
1973,1000.1584
1974,1000.1555
1975,1000.1625
1976,1000.1748
1977,1000.1646
1978,1000.1753
1979,1000.1722
1981,1000.1607
1982,1000.1812
1983,1000.1635
1984,1000.1664
1985,1000.1759
1986,1000.1823
1987,1000.1892
1988,1000.1794
1989,1000.1802
1990,1000.1688
1991,1000.1846
1992,1000.167
1993,1000.1676
1994,1000.152
1995,1000.1566
1996,1000.156
1997,1000.1636
1998,1000.1622
1999,1000.1671
2000,1000.1629
2001,1000.1509
2002,1000.1532
2003,1000.1671
2004,1000.1699
2005,1000.172
2006,1000.1813
2007,1000.1477
2008,1000.1531
2009,1000.179
2010,1000.1751
2011,1000.1774
2012,1000.1743
2013,1000.178
2014,1000.1613
2015,1000.1692
2016,1000.1635
2017,1000.1729
2018,1000.1825
2019,1000.16
2020,1000.1557
2021,1000.1548
2022,1000.1592
2023,1000.1551
