date,mean early autumn hypolimnetic oxygen concentration
1963,9.85
1964,9.03
1965,9.42
1966,9.71
1967,9.81
1968,10.01
1969,9.55
1970,10.28
1971,9.35
1972,8.46
1973,9.3
1974,9.39
1975,9.88
1976,9.96
1977,10.36
1978,10.35
1979,10.06
1980,9.8
1981,9.85
1982,10.28
1983,10.26
1984,10.17
1985,9.72
1986,10.31
1987,9.42
1988,9.33
1989,9.08
1990,9.04
1991,8.85
1992,9.43
1993,9.41
1994,9.8
1995,9.6
1996,10.01
1997,9.85
1998,9.65
1999,10.04
2000,10.05
2001,9.43
2002,9.81
2003,9.61
2004,9.9
2005,9.95
2006,10.43
2007,9.4
2008,9.43
2009,10.08
2010,9.97
2011,9.67
2012,9.93
2013,10.07
2014,9.23
2015,9.64
2016,9.18
2017,9.44
2018,10.16
2019,10.19
2020,9.8
2021,9.76
2022,9.63
2023,9.79
