date,mean winter epilimnion 5-10 m oxygen concentration
1964,11.01
1965,10.47
1966,10.77
1967,10.85
1968,10.41
1969,10.39
1970,10.5
1971,10.56
1972,10.11
1973,10.09
1974,10.16
1975,10.76
1976,11.0
1977,10.94
1978,10.93
1979,10.81
1980,10.96
1981,11.2
1982,10.95
1983,11.38
1984,11.7
1985,10.74
1986,11.5
1987,11.03
1988,10.47
1989,10.44
1990,10.14
1991,10.5
1992,10.54
1993,10.8
1994,10.6
1995,10.66
1996,10.47
1997,10.87
1998,10.78
1999,10.86
2000,10.84
2001,10.66
2002,10.68
2003,10.65
2004,10.73
2005,10.7
2006,10.65
2007,10.93
2008,10.88
2009,10.61
2010,11.22
2011,10.94
2012,10.7
2013,10.77
2014,11.0
2015,10.33
2016,10.47
2017,10.5
2018,10.7
2019,10.8
2020,10.78
2021,10.89
2022,10.54
2023,10.54
