date,mean summer surface oxygen concentration
1963,10.21
1964,10.49
1965,10.41
1966,10.99
1967,10.03
1968,9.96
1969,10.15
1970,10.31
1971,10.36
1972,13.13
1973,12.34
1974,12.48
1975,12.62
1976,11.25
1977,12.41
1978,10.68
1979,11.57
1980,13.48
1981,15.03
1982,11.48
1983,14.04
1984,9.97
1985,10.66
1986,10.04
1987,10.09
1988,9.74
1989,9.16
1990,10.45
1991,10.16
1992,10.33
1993,10.59
1994,11.63
1995,10.99
1996,10.29
1997,10.44
1998,10.11
1999,11.18
2000,9.92
2001,10.32
2002,10.1
2003,10.08
2004,10.34
2005,9.89
2006,9.47
2007,9.96
2008,10.23
2009,10.65
2010,10.48
2011,10.27
2012,9.89
2013,10.47
2014,9.94
2015,9.82
2016,9.79
2017,9.63
2018,9.65
2019,9.74
2020,10.15
2021,9.7
2022,9.8
2023,9.28
