date,mean spring epilimnion 0-5 m oxygen concentration
1963,12.38
1964,11.97
1966,12.67
1967,11.61
1968,14.71
1969,11.32
1970,10.94
1971,12.68
1972,11.78
1973,11.19
1974,13.02
1975,13.49
1976,13.84
1977,13.25
1978,12.59
1979,12.12
1980,11.83
1981,13.9
1982,12.47
1983,11.34
1984,12.95
1985,11.84
1986,13.34
1987,11.62
1988,12.43
1989,12.81
1990,12.34
1991,12.26
1992,11.65
1993,11.96
1994,12.47
1995,12.84
1996,12.88
1997,12.11
1998,11.9
1999,13.11
2000,12.39
2001,12.09
2002,12.37
2003,11.91
2004,12.03
2005,12.43
2006,11.84
2007,11.54
2008,11.55
2009,11.85
2010,11.92
2011,12.72
2012,12.26
2013,11.73
2014,11.5
2015,11.47
2016,11.82
2017,11.82
2018,11.94
2019,12.02
2020,12.05
2021,11.66
2022,11.92
2023,11.66
