date,mean late autumn bottom oxygen concentration
1963,5.45
1964,5.44
1965,5.41
1966,5.42
1967,6.45
1968,5.79
1969,6.79
1970,7.79
1971,2.9
1972,4.26
1973,3.98
1974,6.19
1975,4.9
1976,5.66
1977,6.75
1978,6.8
1979,6.95
1980,5.7
1981,8.05
1982,6.16
1983,6.65
1984,6.96
1985,5.84
1986,6.01
1987,7.12
1988,5.71
1989,4.37
1990,5.2
1991,5.81
1992,6.61
1993,5.5
1994,6.23
1995,6.96
1996,7.46
1997,7.47
1998,6.98
1999,7.21
2000,7.36
2001,6.71
2002,7.73
2003,7.87
2004,7.28
2005,8.45
2006,7.79
2007,7.4
2008,7.32
2009,7.1
2010,8.0
2011,6.71
2012,7.43
2013,6.37
2014,6.83
2015,6.09
2016,5.42
2017,7.07
2018,7.23
2019,8.04
2020,7.64
2021,7.74
2022,6.99
2023,7.72
