date,mean late autumn Schmidt stability
1967,5212.0
1968,5865.95
1969,4148.26
1970,2996.18
1971,4470.11
1972,2662.19
1973,2442.96
1974,1548.5
1975,3870.5
1976,2715.57
1977,4190.06
1978,3419.37
1979,2207.48
1980,2240.03
1981,3155.81
1982,3843.35
1983,3971.74
1984,4604.77
1985,3546.21
1986,3215.89
1987,3723.51
1988,4199.79
1989,4423.78
1990,4350.05
1991,3209.36
1992,2223.59
1993,2701.61
1994,5450.09
1995,4455.73
1996,4081.62
1997,3504.19
1998,2068.45
1999,3522.08
2000,4038.7
2001,4669.88
2002,4258.24
2003,3189.29
2004,4828.97
2005,5173.72
2006,4998.69
2007,5218.83
2008,3824.78
2009,5251.34
2010,3540.82
2011,5990.14
2012,4536.26
2013,4863.19
2014,6810.99
2015,4697.2
2016,3486.07
2017,4597.84
2018,5524.7
2019,6644.53
2020,5566.22
2021,5397.8
2022,7182.99
2023,5378.18
