date,mean winter surface oxygen concentration
1964,11.44
1965,10.4
1966,10.77
1967,10.85
1968,10.55
1969,10.53
1970,10.44
1971,10.63
1972,10.43
1973,10.61
1974,10.83
1975,11.97
1976,10.97
1977,12.19
1978,10.63
1979,11.36
1980,10.77
1981,10.9
1982,10.88
1983,11.28
1984,11.19
1985,10.55
1986,11.34
1987,11.5
1988,10.83
1989,10.51
1990,10.1
1991,11.25
1992,10.66
1993,10.76
1994,10.64
1995,10.77
1996,10.55
1997,10.95
1998,10.78
1999,10.86
2000,10.94
2001,10.7
2002,10.71
2003,10.72
2004,10.69
2005,10.75
2006,10.6
2007,10.87
2008,10.88
2009,10.61
2010,11.27
2011,10.97
2012,10.73
2013,10.83
2014,11.06
2015,10.37
2016,10.62
2017,10.66
2018,10.76
2019,10.88
2020,10.88
2021,10.72
2022,10.6
2023,10.82
