date,mean annual Secchi depth
1974,8.17
1975,7.41
1976,7.75
1977,8.44
1978,6.76
1979,8.12
1980,6.67
1982,7.52
1983,7.63
1984,7.39
1985,8.36
1986,8.09
1987,6.91
1988,7.08
1989,6.7
1990,7.5
1991,7.27
1992,6.48
1993,8.07
1994,7.4
1995,7.45
1996,8.74
1997,7.78
1998,7.62
1999,6.36
2000,6.41
2001,6.08
2002,6.08
2003,7.06
2004,8.25
2005,6.63
2006,7.22
2007,6.81
2008,6.66
2009,6.59
2010,6.43
2011,6.1
2012,6.04
2013,5.81
2014,6.71
2015,6.82
2016,5.85
2017,6.24
2018,6.8
2019,7.48
2020,5.86
2021,6.5
2022,6.63
2023,5.68
