date,mean winter epilimnion 0-5 m oxygen concentration
1964,11.33
1965,10.37
1966,10.75
1967,10.84
1968,10.51
1969,10.58
1970,10.46
1971,10.65
1972,10.03
1973,10.32
1974,10.52
1975,11.39
1976,10.88
1977,11.62
1978,10.74
1979,10.98
1980,10.88
1981,11.1
1982,10.76
1983,11.2
1984,11.27
1985,10.67
1986,11.26
1987,11.58
1988,10.98
1989,10.53
1990,10.2
1991,10.95
1992,10.66
1993,10.76
1994,10.64
1995,10.66
1996,10.54
1997,10.88
1998,10.77
1999,10.86
2000,10.9
2001,10.69
2002,10.7
2003,10.72
2004,10.69
2005,10.75
2006,10.63
2007,10.86
2008,10.85
2009,10.64
2010,11.25
2011,10.96
2012,10.73
2013,10.8
2014,11.06
2015,10.32
2016,10.57
2017,10.63
2018,10.75
2019,10.86
2020,10.85
2021,10.7
2022,10.6
2023,10.73
